ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,CLUSTER,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
1,randomforest,no-attribute-selection,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9795559328206042,0.9704505796058089,0.9707243172096774,0.9737539766702015,0.026246023329798515,4902.0
2,randomforest,info-gain-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|info-gain-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9815319608967257,0.9700418623227932,0.9702060979746859,0.9737539766702015,0.026246023329798515,3854.0
3,randomforest,relieff-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9835300638395968,0.969456655101949,0.969534202045634,0.9732237539766702,0.0267762460233298,6828.0
4,randomforest,correlation-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9798621632411757,0.9692961514450023,0.9689097240828215,0.9729586426299046,0.02704135737009544,3825.0
5,randomforest,gain-ratio-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|gain-ratio-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9804642945019747,0.969228576979154,0.9691109542968831,0.972693531283139,0.02730646871686108,3824.0
6,randomforest,symmetrical-uncert-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9809956849310424,0.9703427871961949,0.9707342622359042,0.9737539766702015,0.026246023329798515,3821.0
7,randomforest,cfs-subset-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.931929407551347,0.9637295909434399,0.9628086690959455,0.9650053022269353,0.03499469777306469,823.0
8,kstar,cfs-subset-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|kstar-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9610489838212838,NaN,NaN,0.9623541887592789,0.037645811240721104,3824.0
9,kstar,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|kstar-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9577760726453148,NaN,NaN,0.9647401908801697,0.03525980911983033,15845.0
10,bagging,relieff-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9825026887034674,0.9709027476952807,0.9696398962344887,0.9732237539766702,0.0267762460233298,6831.0
11,bagging,info-gain-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|info-gain-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9829007404212238,0.9714601264253739,0.9702313532538929,0.9737539766702015,0.026246023329798515,824.0
12,bagging,no-attribute-selection,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9821533220999457,0.9707840443909048,0.9690411864430429,0.9732237539766702,0.0267762460233298,813.0
13,bagging,symmetrical-uncert-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9829489998313492,0.9714601264253739,0.9702313532538929,0.9737539766702015,0.026246023329798515,823.0
14,bagging,correlation-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9827340859624905,0.9720175051554674,0.9708228102732972,0.9742841993637328,0.025715800636267234,817.0
15,bagging,cfs-subset-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9677935462512336,0.9686017389082038,0.967681462976942,0.971102863202545,0.028897136797454932,820.0
16,bagging,gain-ratio-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|gain-ratio-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9829623041293376,0.9714601264253739,0.9702313532538929,0.9737539766702015,0.026246023329798515,828.0
17,bagging,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9685465953652664,0.9683829917642789,0.9675605948096953,0.971102863202545,0.028897136797454932,12835.0
18,logitboost,no-attribute-selection,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9687465405580306,0.9683912675596685,0.9676197940333007,0.9708377518557795,0.02916224814422057,3821.0
19,logitboost,symmetrical-uncert-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9687465405580306,0.9683912675596685,0.9676197940333007,0.9708377518557795,0.02916224814422057,818.0
20,logitboost,correlation-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9687465405580306,0.9683912675596685,0.9676197940333007,0.9708377518557795,0.02916224814422057,822.0
21,logitboost,gain-ratio-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|gain-ratio-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9687465405580306,0.9683912675596685,0.9676197940333007,0.9708377518557795,0.02916224814422057,819.0
22,logitboost,info-gain-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|info-gain-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9687465405580306,0.9683912675596685,0.9676197940333007,0.9708377518557795,0.02916224814422057,819.0
23,logitboost,relieff-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9687465405580306,0.9683912675596685,0.9676197940333007,0.9708377518557795,0.02916224814422057,6825.0
24,randomsubspace,relieff-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomsubspace-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9672343290896084,NaN,NaN,0.9663308589607635,0.03366914103923648,6837.0
25,randomsubspace,no-attribute-selection,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|randomsubspace-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9700373359158525,NaN,NaN,0.9676564156945917,0.03234358430540827,822.0
26,randomsubspace,gain-ratio-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|gain-ratio-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomsubspace-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9752334107362354,NaN,NaN,0.9692470837751855,0.030752916224814422,819.0
27,randomsubspace,symmetrical-uncert-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomsubspace-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9727230087877641,NaN,NaN,0.9684517497348887,0.03154825026511135,823.0
28,randomsubspace,info-gain-attribute-eval,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|info-gain-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomsubspace-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9749510770884224,NaN,NaN,0.967391304347826,0.03260869565217391,822.0
